Category,Feature/Component,Description / Acceptance Criteria,Dependencies,Risks / Assumptions,Priority,Frontend (hrs),Backend (hrs),AI Integration & Avatars (hrs),Prompt Engineering (hrs),DevOps (hrs),Total (hrs)
Training Session,Session End - Trigger Phrase Detection,"Detect when user says 'Let's get your SleepNumber setting' or variations. End session gracefully.",AI Integration,"Risk: Phrase variation detection accuracy",MVP,,,,,0,0
Training Session,Session End - Timeout Handling,"Auto-end at 15 minutes with 'Moving to next phase' screen. Graceful transition to evaluation.",None,None,MVP,,,,,0,0
Training Session,Session Recording & Storage,"Record/store session audio or transcript for replay functionality. Secure storage.",Backend storage,"Risk: Storage costs. Risk: Privacy/compliance considerations.",MVP,,,,,0,0
Session History,Last 10 Sessions List,"Display list/cards of last 10 sessions on home page. Sorted by most recent.",Backend API,Assumption: Paginated if more than 10 total,MVP,,,,,0,0
Session History,Session Card Display,"Each card shows: Date/Time, Persona used (DISC + Marketing), Duration, AI summary snippet.",Backend API for summaries,Assumption: Summary generated post-session,MVP,,,,,0,0
Session History,Session Detail View,"Click on session card to view full summary, feedback, and access replay.",Session data stored,"Risk: Data retrieval performance for old sessions",MVP,,,,,0,0
Self-Evaluation,Evaluation Form UI,"Form with conditional questions. Clean, easy-to-use interface. Submit and Cancel buttons.",Training Session complete,None,MVP,,,,,0,0
Self-Evaluation,Random Persona Question,"If Random was selected: 'What DISC persona did you interact with?' - Multiple choice (Director/Realter/Socializer/Thinker).",Persona selection data,None,MVP,,,,,0,0
Self-Evaluation,Standard Questions,"Two open-text questions: 'What was the toughest part?' and 'What could you have done better?'",None,Assumption: Free-text responses (no validation),MVP,,,,,0,0
Self-Evaluation,Form Submission & Storage,"Store self-evaluation responses linked to session. Handle submit and cancel actions.",Backend API,None,MVP,,,,,0,0
Results & Feedback,Session Duration Display,"Show how long the user was in the session (actual time, not max 15 min).",Session data,None,MVP,,,,,0,0
Results & Feedback,AI Qualitative Feedback,"Generate qualitative feedback based on Connect & Discover criteria using evaluation prompt.",Prompt Engineering complete,"Risk: Feedback quality/relevance. Assumption: AI analyzes transcript.",MVP,,,,,0,0
Results & Feedback,Strengths Section,"Display specific strengths identified from the session. Bullet points or cards.",AI Evaluation complete,None,MVP,,,,,0,0
Results & Feedback,Areas to Improve Section,"Display areas for improvement identified from session. Constructive, actionable feedback.",AI Evaluation complete,None,MVP,,,,,0,0
Results & Feedback,Replay Session Option,"Button/link to replay the session audio/video. Audio player or video playback.",Session recording stored,"Risk: Playback performance. Assumption: Audio-only replay acceptable.",MVP,,,,,0,0
Results & Feedback,Return to Home Button,"Navigate back to home page after reviewing results.",None,None,MVP,,,,,0,0
System Prompts,AI Persona Behavior Prompt,"Create comprehensive prompt defining how AI should behave based on DISC + Marketing persona combination. Include personality traits, objection styles, response patterns.",Persona definitions finalized,"Risk: Prompt tuning iterations needed. Assumption: 16 combinations (4 DISC x 4 Marketing incl. variations).",MVP,,,,,0,0
System Prompts,Session Evaluation Prompt,"Create prompt for AI to evaluate completed session. Define Connect & Discover criteria, how to identify strengths, how to suggest improvements.",Connect & Discover criteria defined,"Risk: Evaluation accuracy. Assumption: Criteria provided by Sleep Number.",MVP,,,,,0,0
System Prompts,Prompt Testing & Iteration,"Test prompts with various scenarios, iterate based on output quality. Fine-tune for consistency.",Initial prompts created,Risk: Multiple iteration cycles needed,MVP,,,,,0,0
Infrastructure,Azure App Service Setup,"Provision and configure Azure App Service for web application hosting.",Azure subscription,"Assumption: Using Azure cloud infrastructure",MVP,,,,,0,0
Infrastructure,Database Setup,"Provision database (Cosmos DB or Azure SQL) for users, sessions, evaluations.",Azure subscription,Risk: Data model complexity,MVP,,,,,0,0
Infrastructure,Azure AI Foundry Integration,"Configure Azure AI Foundry for Claude API access. Set up endpoints, authentication.",Azure AI Foundry access,"Risk: API quota/limits. Assumption: Claude available via Azure.",MVP,,,,,0,0
Infrastructure,CI/CD Pipeline,"Set up automated build, test, deploy pipeline. GitHub Actions or Azure DevOps.",Repository setup,Assumption: Standard CI/CD practices,MVP,,,,,0,0
Infrastructure,Environment Configuration,"Configure dev, staging, production environments. Environment variables, secrets management.",Azure resources provisioned,None,MVP,,,,,0,0
Infrastructure,Monitoring & Logging,"Set up application monitoring, error tracking, performance metrics. Azure Monitor or similar.",App deployed,Assumption: Standard monitoring setup,MVP,,,,,0,0
Analytics (Admin),Admin Dashboard UI,"Build real-time analytics dashboard accessible to admins only. Responsive layout with charts and metrics cards.",Backend analytics API,"Risk: Role-based access control setup. Assumption: Admin role defined in SSO.",MVP,,,,,0,0
Analytics (Admin),Admin Authentication & Access Control,"Restrict analytics dashboard to admin users only. Role-based access via SSO claims or database flag.",SSO Integration,"Risk: Admin role identification from SSO. Assumption: Admin users identifiable.",MVP,,,,,0,0
Analytics (Admin),Usage Metrics - Total Users,"Track and display total registered users and active users (used in last 30 days).",User database,Assumption: Active defined as 30-day window,MVP,,,,,0,0
Analytics (Admin),Usage Metrics - Session Counts,"Track total sessions started, total sessions completed, calculate completion rate percentage.",Session database,None,MVP,,,,,0,0
Analytics (Admin),Usage Metrics - Avg Session Duration,"Calculate and display average session duration across all completed sessions.",Session database,Assumption: Only completed sessions count,MVP,,,,,0,0
Analytics (Admin),Persona Analytics - DISC Distribution,"Chart showing session distribution by DISC persona type (Director/Realter/Socializer/Thinker/Random).",Session database,None,MVP,,,,,0,0
Analytics (Admin),Persona Analytics - Marketing Distribution,"Chart showing session distribution by Marketing persona (Skeptical/Budget Conscious/Luxury Seeker/Random).",Session database,None,MVP,,,,,0,0
Analytics (Admin),Persona Analytics - Combo Heatmap,"Heatmap or matrix showing which DISC + Marketing combinations are most frequently selected.",Session database,Assumption: Visual heatmap or table format,MVP,,,,,0,0
Analytics (Admin),Performance Trends - Self-Eval Rate,"Track and display percentage of sessions where self-evaluation was submitted vs skipped.",Evaluation database,None,MVP,,,,,0,0
Analytics (Admin),Performance Trends - User Improvement,"Track repeat users and show improvement trends over multiple sessions. Identify users improving over time.",Evaluation database + AI feedback,"Risk: Defining 'improvement' metric. Assumption: Based on AI feedback scores/keywords.",MVP,,,,,0,0
Analytics (Admin),Real-Time Data Updates,"Dashboard updates in real-time or near real-time (websockets or polling). Live session counter.",Backend infrastructure,"Risk: Performance with many concurrent users. Assumption: Polling acceptable if websockets complex.",MVP,,,,,0,0
Analytics (Admin),Date Range Filters,"Allow admins to filter analytics by date range (today, last 7 days, last 30 days, custom range).",Backend API,None,MVP,,,,,0,0
Analytics (Admin),Export Functionality,"Export analytics data to CSV or PDF for reporting purposes.",Backend API,Assumption: Basic export functionality,Phase 2,,,,,0,0
,,,,,TOTALS:,0,0,0,0,0,0
